"FY 2014 Position Salary/Fringe Summary grouped by Fund, Department, Budget Unit",,,,,,,
City of Virginia Beach,,,,,,,
,,,,,,,
,,,  002 General Fund  ,,,,
,,,,,,FTE,
0010 Municipal Council  ,,,,,,,
01010 Municipal Council,,,,,,11.00,
0011 City Clerk  ,,,,,,,
01011 City Clerk,,,,,,6.00,
0020 City Manager  ,,,,,,,
02010 City Manager,,,,,,12.00,
02020 Organization Development Office,,,,,,2.00,
02021 Office of Volunteer Resources,,,,,,2.50,
02030 Media and Communications Group,,,,,,3.00,
,,,,,,,
,,,0020 City Manager  ,,,19.50,
0030 City Attorney  ,,,,,,,
03010 City Attorney,,,,,,39.61,
0040 Finance  ,,,,,,,
04030 Director's Office,,,,,,6.00,
04033 Comptroller's Office,,,,,,19.00,
04034 Payroll,,,,,,9.00,
04040 Purchasing,,,,,,13.00,
,,,,,,,
,,,,0040 Finance  ,,47.00,
0041 Commissioner of the Revenue  ,,,,,,,
04001 Commissioner of the Revenue,,,,,,60.00,
04002 DMV Select,,,,,,2.93,
,,,,,,,
,,0041 Commissioner of the Revenue  ,,,,62.93,
0042 City Real Estate Assessor  ,,,,,,,
04011 Board of Equalization,,,,,,0.30,
04012 City Real Estate Assessor,,,,,,34.00,
,,,,,,,
,,,0042 City Real Estate Assessor  ,,,35.00,34.30
0043 City Treasurer  ,,,,,,,
04020 City Treasurer,,,,,,70.83,
0050 Human Resources  ,,,,,,,
05001 Director's Office,,,,,,3.00,
05002 Employee Relations,,,,,,7.00,
05003 Staffing and Compensation Services,,,,,,16.00,
05005 Learning and Development,,,,,,7.00,
05006 HR Police Services,,,,,,1.00,
05007 Member Communications,,,,,,1.00,
05008 Human Rights Commission,,,,,,1.00,
05009 Occupational Safety,,,,,,3.00,
05010 Occupational Health,,,,,,8.00,
,,,,,,,
,,,0050 Human Resources  ,,,,47.00
0061 Courts and Courts' Support  ,,,,,,,
06011 Circuit Court,,,,,,12.00,
06041 Clerk of the Circuit Court,,,,,,57.00,
06210 Juvenile Probation,,,,,,1.00,
06211 Juvenile Probation CHINS Unit,,,,,,5.00,
,,,,,,,
,,0061 Courts and Courts' Support  ,,,,75.00,
0062 Commonwealth's Attorney  ,,,,,,,
06020 Commonwealth's Attorney,,,,,,79.75,
0070 Health  ,,,,,,,
07011 Public Health,,,,,,9.13,
,,,,,,,
GovMax V5,,,,,1,,
,,,,,,,
"FY 2014 Position Salary/Fringe Summary grouped by Fund, Department, Budget Unit",,,,,,,
City of Virginia Beach,,,,,,,
0090 Police  ,,,,,,,
09010 Director's Office,,,,,,16.80,
09012 False Alarms,,,,,,1.75,
09015 Personnel and Training,,,,,,32.72,
09016 Crime Prevention,,,,,,8.00,
09017 Support,,,,,,61.00,
09018 K-9 Unit,,,,,,16.00,
09019 Helicopter Unit,,,,,,8.00,
09020 Uniform Patrol,,,,,,565.23,
09021 Red Light Camera Program,,,,,,2.40,
09024 Mounted Patrol,,,,,,16.00,
09025 Marine Patrol,,,,,,10.46,
09026 School Resource Officer Program,,,,,,30.00,
09028 Investigative Division,,,,,,142.00,
09029 Special Investigative Unit,,,,,,52.00,
09042 Commercial Extraditions,,,,,,0.00,
09112 Animal Control,,,,,,46.00,
,,,,,,,
,,,,0090 Police  ,,"1,008.36",
0100 Public Works  ,,,,,,,
10010 Director's Office,,,,,,2.00,
10012 Business Center,,,,,,12.00,
10013 Contracts,,,,,,7.00,
10014 Facilities Management,,,,,,3.00,
10502 Real Estate,,,,,,11.00,
10510 Engineering Program Management,,,,,,9.00,
10512 Surveys,,,,,,16.00,
10513 Engineering Technical Support,,,,,,4.00,
10514 Traffic Engineering,,,,,,14.00,
10515 Transportation Program and Project Management,,,,,,15.00,
10516 Engineering and Construction Management Services,,,,,,11.00,
10517 Coastal Program and Project Management,,,,,,4.00,
10518 Facilities Design and Construction,,,,,,6.00,
10601 Operations Management Support,,,,,,14.00,
10603 Technical Services and Asset Management,,,,,,10.00,
10604 Infrastructure Maintenance Contracts,,,,,,7.00,
10610 Infrastructure Maintenance Support,,,,,,9.00,
10611 Street Maintenance,,,,,,60.00,
10612 Dredge Maintenance,,,,,,21.00,
10613 Mosquito Control,,,,,,19.00,
10614 Traffic Management Operations,,,,,,41.88,
10615 Beach Operations,,,,,,9.00,
10616 Bridge Maintenance,,,,,,6.00,
10650 Building Maintenance Management and Support,,,,,,12.00,
10651 Electrical,,,,,,21.00,
10652 Heat and Air Conditioning,,,,,,22.00,
10653 General Maintenance,,,,,,43.00,
10654 Custodial,,,,,,61.00,
10655 Resort Building Maintenance,,,,,,3.00,
,,,,,,,
,,,0100 Public Works  ,,,472.88,
0110 Parks and Recreation  ,,,,,,,
11041 Landscape Asset Management,,,,,,24.00,
11042 Landscape Maintenance Management,,,,,,81.00,
11043 Landscape Life Cycle Management,,,,,,39.00,
11044 Landscape Special Zone Management - Resort Area,,,,,,20.00,
11141 Landscape Special Zones Management - Municipal Center,,,,,,14.00,
,,,,,,,
,,,0110 Parks and Recreation  ,,,,178.00
,,,,,,,
GovMax V5,,,,,2,,
,,,,,,,
"FY 2014 Position Salary/Fringe Summary grouped by Fund, Department, Budget Unit",,,,,,,
City of Virginia Beach,,,,,,,
0120 Library  ,,,,,,,
12010 Director's Office,,,,,,15.50,
12030 Meyera E. Oberndorf Central Library,,,,,,51.50,
12031 Great Neck Area Library,,,,,,12.00,
12032 Bayside Area Library,,,,,,18.50,
12033 Oceanfront Area Library,,,,,,13.50,
