"FY 2010 Position Salary/Fringe Summary grouped by Fund, Department, Organization Code",,,,,,
City of Virginia Beach,,,,,,
,,,,,,
,,,  002 General Fund  ,,,
,,,,,FTE,
0010 Legislative  ,,,,,,
01010 Municipal Council,,,,,11.00,
01011 City Clerk,,,,,7.00,
,,,,,,
,,,,0010 Legislative  ,18.00,
0020 City Manager  ,,,,,,
02010 City Manager,,,,,13.00,
02020 Organization Development Office,,,,,3.70,
02021 Office of Volunteer Resources,,,,,1.50,
02030 Media and Communications Group,,,,,8.00,
,,,,,,
,,,0020 City Manager  ,,26.20,
0030 Law  ,,,,,,
03010 City Attorney,,,,,43.00,
0040 Finance  ,,,,,,
04030 Director's Office,,,,,8.00,
04033 Comptroller's Office,,,,,19.00,
04034 Payroll,,,,,10.00,
04040 Purchasing,,,,,14.00,
,,,,,,
,,,,0040 Finance  ,51.00,
0041 Commissioner of the Revenue  ,,,,,,
04001 Commissioner of the Revenue,,,,,60.68,
04002 DMV Select,,,,,3.37,
,,,,,,
,,0041 Commissioner of the Revenue  ,,,64.05,
0042 City Real Estate Assessor  ,,,,,,
04011 Board of Equalization,,,,,0.35,
04012 City Real Estate Assessor,,,,,38.00,
,,,,,,
,,,0042 City Real Estate Assessor  ,,37.00,38.35
0043 City Treasurer  ,,,,,,
04020 City Treasurer,,,,,76.68,
0050 Human Resources  ,,,,,,
05001 Director's Office,,,,,10.50,
05002 Employee Relations,,,,,6.00,
05003 Staffing and Compensation Services,,,,,17.63,
05005 Learning and Development,,,,,6.00,
05006 HR Police Services,,,,,1.00,
05009 Occupational Safety,,,,,5.00,
05010 Occupational Health,,,,,7.00,
,,,,,,
,,,0050 Human Resources  ,,,53.13
0061 Courts and Courts' Support  ,,,,,,
06011 Circuit Court,,,,,12.00,
06041 Clerk of the Circuit Court,,,,,58.00,
06210 Juvenile Probation,,,,,1.00,
06211 Juvenile Probation CHINS Unit,,,,,5.00,
,,,,,,
,,0061 Courts and Courts' Support  ,,,76.00,
0062 Commonwealth's Attorney  ,,,,,,
06020 Commonwealth's Attorney,,,,,77.90,
06022 Consumer Affairs,,,,,3.00,
06024 Victim/Witness,,,,,4.00,
,,,,,,
,,0062 Commonwealth's Attorney  ,,,84.90,
0070 Health  ,,,,,,
07011 Public Health,,,,,11.07,
,,,,,,
GovMax V5,,,,,,
,,,,,,
"FY 2010 Position Salary/Fringe Summary grouped by Fund, Department, Organization Code",,,,,,
City of Virginia Beach,,,,,,
0090 Police  ,,,,,,
09010 Director's Office,,,,,16.80,
09012 False Alarms,,,,,1.75,
09015 Personnel and Training,,,,,31.72,
09016 Crime Prevention,,,,,7.00,
09017 Support,,,,,58.00,
09018 K-9 Unit,,,,,16.00,
09019 Helicopter Unit,,,,,5.00,
09020 Uniform Patrol,,,,,573.53,
09021 Red Light Camera Program,,,,,1.60,
09024 Mounted Patrol,,,,,16.00,
09025 Marine Patrol,,,,,10.46,
09026 School Resource Officer Program,,,,,30.00,
09028 Investigative Division,,,,,146.00,
09029 Special Investigative Unit,,,,,56.00,
09112 Animal Control,,,,,35.00,
,,,,,,
,,,,0090 Police  ,"1,004.86",
0100 Public Works  ,,,,,,
10010 Director's Office,,,,,2.00,
10012 Administration Services,,,,,8.00,
10013 Contracts,,,,,7.00,
10020 Coastal Engineering,,,,,6.00,
10310 Administration,,,,,15.00,
10311 Bureau of Waste Disposal,,,,,15.00,
10312 Bureau of Waste Collection,,,,,151.00,
10314 Recycling,,,,,0.50,
10502 Real Estate,,,,,12.00,
10510 Administration,,,,,9.00,
10511 Design,,,,,3.00,
10512 Surveys,,,,,16.00,
10513 Engineering Support Services,,,,,5.00,
10514 Traffic Engineering,,,,,17.88,
10515 Project Management - Roadways,,,,,11.00,
10516 Construction,,,,,13.00,
10518 Project Management - Buildings,,,,,6.00,
10601 Customer Services/Administration,,,,,14.00,
"10602 Planning, Estimating, and Scheduling",,,,,8.00,
10603 System Support Services,,,,,9.00,
10604 Infrastructure Maintenance Contracts,,,,,8.00,
10605 Technical Services,,,,,4.00,
10610 Support Services,,,,,10.00,
10611 Street Maintenance,,,,,69.00,
10612 Dredge Maintenance,,,,,21.00,
10613 Mosquito Control,,,,,27.00,
10614 Traffic Operations,,,,,35.00,
10615 Beach Operations,,,,,9.00,
10616 Bridge Maintenance,,,,,6.00,
10650 Management and Support,,,,,12.00,
10651 Electrical,,,,,21.00,
10652 Heat and Air Conditioning,,,,,22.00,
10653 General Maintenance,,,,,43.00,
10654 Custodial,,,,,61.00,
10655 Resort Building Maintenance,,,,,3.00,
,,,,,,
,,,0100 Public Works  ,,679.38,
0110 Parks and Recreation  ,,,,,,
11041 Landscape Administration,,,,,27.00,
11042 Grounds Maintenance,,,,,81.00,
11043 Parks Maintenance,,,,,42.00,
11044 Resort Area Landscaping,,,,,20.00,
11141 Special Zones Management - Municipal Center,,,,,15.00,
,,,,,,
,,,0110 Parks and Recreation  ,,,185.00
,,,,,,
GovMax V5,,,,,,
,,,,,,
"FY 2010 Position Salary/Fringe Summary grouped by Fund, Department, Organization Code",,,,,,
City of Virginia Beach,,,,,,
0120 Library  ,,,,,,
12010 Director's Office,,,,,16.00,
12030 Central Library,,,,,56.00,
12031 Great Neck Area Library,,,,,13.32,
12032 Bayside Area Library,,,,,24.50,
12033 Oceanfront Area Library,,,,,20.50,
12034 Kempsville Area Library,,,,,26.63,
12035 Windsor Woods Area Library,,,,,12.50,
12036 Pungo - Blackwater Area Library,,,,,7.65,
