,,"Revenue Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,,Fiscal Year 2014,,,,,,,
Account,,,,,,,,FY 2012,FY 2013,,,FY 2013,,FY 2014,,FY 2015,,FY 2016,FY 2017,,FY 2018
,,,,,,,,,,,,,,,,,,,,,
Code,,,,Revenue Description,,,,Actual,Adopted,,,Amended,,Budget,,Budget,,Budget,Budget,,Budget
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,002 General Fund,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0010 Municipal Council,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
01010 Municipal Council,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416001 Donations - Brigadoon Park Fitness Trail,,,,,,,,"3,750",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416011 Donations,,,,,,,,"3,850",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 01010,,,,,,,"7,600",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,0010 Municipal Council,,,,"7,600",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0011 City Clerk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
01011 City Clerk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416061 City Treasurer Charges,,,,,,,,35,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 01011,,,,,,,35,,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,0011 City Clerk,,,35,,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0030 City Attorney,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
03010 City Attorney,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
417007 DUI Response Reimbursements,,,,,,,,"1,546",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 03010,,,,,,,"1,546",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,0030 City Attorney,,,"1,546",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0040 Finance,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
04030 Director's Office,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
413060 General District Court - ATM Permit Fee,,,,,,,,0,"1,450",,,"1,450",,"1,450",,"1,509",,"1,539","1,570",,"1,601"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
413068 ATM Permit Fee - City Hall,,,,,,,,"7,250","4,350",,,"4,350",,"4,350",,"4,526",,"4,616","4,709",,"4,803"
,,,,,,,,,,,,,,,,,,,,,
413069 ATM Permit Fee - Visitors' Center,,,,,,,,0,"1,450",,,"1,450",,"1,450",,"1,509",,"1,539","1,570",,"1,601"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416375 Procurement Card Rebate - City,,,,,,,,"17,039","43,500",,,"43,500",,"40,390",,"42,850",,"44,136","45,460",,"46,824"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 04030,,,,,,,"24,289",,"50,750",,"50,750",,"47,640","50,393",,"51,830","53,308",,"54,829"
,,,,,,,,,,,,,,,,,,,,,
04031 Local Vehicle Registration,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416302 DMV Reimbursement - STOPS,,,,,,,,"626,276","614,000",,,"614,000",,"591,480",,"627,501",,"646,326","665,716",,"685,687"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 04031,,,,,,,"626,276",,"614,000",,"614,000",,"591,480","627,501",,"646,326","665,716",,"685,687"
,,,,,,,,,,,,,,,,,,,,,
04033 Comptroller's Office,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416055 Miscellaneous Revenue,,,,,,,,"1,740","3,150",,,"3,150",,"1,740",,"1,846",,"1,901","1,958",,"2,017"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 04033,,,,,,,"1,740",,"3,150",,"3,150",,"1,740","1,846",,"1,901","1,958",,"2,017"
,,,,,,,,,,,,,,,,,,,,,
04034 Payroll,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415015 Court Order Adminstration Fees,,,,,,,,"18,678","26,300",,,"26,300",,"19,500",,"20,688",,"21,309","21,948",,"22,606"
,,,,,,,,,,,,,,,,,,,,,
418042 Copier Charges,,,,,,,,477,350,,,350,,500,,520,,530,541,,552
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 04034,,,,,,,"19,155",,"26,650",,"26,650",,"20,000","21,208",,"21,839","22,489",,"23,158"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,0040 Finance,,"671,460","694,550",,,"694,550",,"660,860",,"700,948",,"721,896","743,471",,"765,691"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0041 Commissioner of the Revenue,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
04001 Commissioner of the Revenue,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
421002 Commissioner of the Revenue Reimbursement,,,,,,,,"637,531","651,532",,,"651,532",,"664,562",,"684,255",,"694,323","704,542",,"714,915"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 04001,,,,,,,"637,531",,"651,532",,"651,532",,"664,562","684,255",,"694,323","704,542",,"714,915"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,,1,,,,,12/6/2013   9:39:42AM - ET,,,,
,,"Revenue Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,,Fiscal Year 2014,,,,,,,
Account,,,,,,,,FY 2012,FY 2013,,,FY 2013,,FY 2014,,FY 2015,,FY 2016,FY 2017,,FY 2018
,,,,,,,,,,,,,,,,,,,,,
Code,,,,Revenue Description,,,,Actual,Adopted,,,Amended,,Budget,,Budget,,Budget,Budget,,Budget
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,002 General Fund,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0041 Commissioner of the Revenue,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
04002 DMV Select,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
422610 DMV Select Program,,,,,,,,"145,489","161,000",,,"161,000",,"161,000",,"165,866",,"168,354","170,880",,"173,443"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 04002,,,,,,,"145,489",,"161,000",,"161,000",,"161,000","165,866",,"168,354","170,880",,"173,443"
,,,,,,,,,,,,,,,,,,,,,
0041 Commissioner of the Revenue,,,,,,,,"783,020","812,532",,,"812,532",,"825,562",,"850,121",,"862,677","875,422",,"888,358"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0042 City Real Estate Assessor,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
04012 City Real Estate Assessor,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416079 Farm Classification - Late Filing Fees,,,,,,,,180,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 04012,,,,,,,180,,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,0042 City Real Estate Assessor,,,,,,180,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0043 City Treasurer,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
04020 City Treasurer,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
413032 Residential Parking Permits,,,,,,,,"47,039","36,515",,,"36,515",,"45,689",,"47,535",,"48,486","49,456",,"50,445"
,,,,,,,,,,,,,,,,,,,,,
416060 Returned Check Processing Charges,,,,,,,,"62,681","81,142",,,"81,142",,"64,225",,"68,136",,"70,180","72,285",,"74,454"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416061 City Treasurer Charges,,,,,,,,"1,475,594","1,250,000",,,"1,250,000",,"1,180,475",,"1,252,366",,"1,289,937","1,328,635",,"1,368,494"
,,,,,,,,,,,,,,,,,,,,,
416709 Administrative Fee - Advertising,,,,,,,,"14,309","4,451",,,"4,451",,"13,468",,"14,288",,"14,717","15,159",,"15,614"
,,,,,,,,,,,,,,,,,,,,,
416914 Restitution Setup Fee,,,,,,,,"17,586","15,000",,,"15,000",,"12,000",,"12,731",,"13,113","13,506",,"13,911"
,,,,,,,,,,,,,,,,,,,,,
416915 Restitution Late Fee,,,,,,,,"51,211","16,000",,,"16,000",,"40,000",,"42,436",,"43,709","45,020",,"46,371"
,,,,,,,,,,,,,,,,,,,,,
416916 Restitution Processing Fee,,,,,,,,"17,436","5,000",,,"5,000",,"15,000",,"15,914",,"16,391","16,883",,"17,389"
,,,,,,,,,,,,,,,,,,,,,
416919 Housing Collection Fee,,,,,,,,"43,513","25,000",,,"25,000",,"20,000",,"21,218",,"21,855","22,511",,"23,186"
,,,,,,,,,,,,,,,,,,,,,
421001 Treasurer Reimbursement,,,,,,,,"591,315","552,767",,,"552,767",,"571,790",,"589,058",,"597,894","606,862",,"615,965"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 04020,,,,,,,"2,320,684",,"1,985,875",,"1,985,875",,"1,962,647","2,063,682",,"2,116,282","2,170,317",,"2,225,829"
,,,,,,,,,,,,,,,,,,,,,
,,,,,0043 City Treasurer,,,"2,320,684","1,985,875",,,"1,985,875",,"1,962,647",,"2,063,682",,"2,116,282","2,170,317",,"2,225,829"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0050 Human Resources,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
05001 Director's Office,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414069 Vending Machine Concessions,,,,,,,,"1,029",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
416145 Beam Advertising,,,,,,,,"18,540","20,867",,,"20,867",,"20,867",,"22,138",,"22,802","23,486",,"24,191"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 05001,,,,,,,"19,569",,"20,867",,"20,867",,"20,867","22,138",,"22,802","23,486",,"24,191"
,,,,,,,,,,,,,,,,,,,,,
05005 Learning and Development,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416007 PSDT Contributions,,,,,,,,0,750,,,750,,750,,773,,796,820,,844
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 05005,,,,,,,0,,750,,750,,750,773,,796,820,,844
,,,,,,,,,,,,,,,,,,,,,
,,,,,0050 Human Resources,,,,"19,569",,"21,617",,"21,617",,"21,617","22,910",,"23,598","24,306",,"25,035"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0061 Courts and Courts' Support,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
06016 General District Court,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415018 Public Defender Fees,,,,,,,,0,"75,146",,,"75,146",,"75,146",,"79,722",,"82,114","84,577",,"87,115"
,,,,,,,,,,,,,,,,,,,,,
417003 Parking Tickets - Penalties,,,,,,,,34,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 06016,,,,,,,34,,"75,146",,"75,146",,"75,146","79,722",,"82,114","84,577",,"87,115"
,,,,,,,,,,,,,,,,,,,,,
06017 Juvenile and Domestic Relations District Court,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415012 Courthouse Maintenance Fees,,,,,,,,"3,715",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 06017,,,,,,,"3,715",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,,2,,,,,12/6/2013   9:39:42AM - ET,,,,
,,"Revenue Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,,Fiscal Year 2014,,,,,,,
Account,,,,,,,,FY 2012,FY 2013,,,FY 2013,,FY 2014,,FY 2015,,FY 2016,FY 2017,,FY 2018
,,,,,,,,,,,,,,,,,,,,,
Code,,,,Revenue Description,,,,Actual,Adopted,,,Amended,,Budget,,Budget,,Budget,Budget,,Budget
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,002 General Fund,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
