,,"Revenue Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,,Fiscal Year 2011,,,,,,,
Account,,,,,,,,FY 2009,FY 2010,,,FY 2010,,FY 2011,,FY 2012,,FY 2013,FY 2014,,FY 2015
Code,,,,Revenue Description,,,,Actual,Adopted,,,Amended,,Budget,,Budget,,Budget,Budget,,Budget
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,002 General Fund,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0010 Municipal Council,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
01010 Municipal Council,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416011 Donations,,,,,,,,"4,855",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
416911 Donation - Mayor's Committee - Disabilities,,,,,,,,754,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 01010,,,,,,,"5,609",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,0010 Municipal Council,,,,"5,609",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0011 City Clerk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
01011 City Clerk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416268 Campaign Financing - Late Fees,,,,,,,,0,541,,,541,,541,,541,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 01011,,,,,,,0,,541,,541,,541,541,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,0011 City Clerk,,,0,,541,,541,,541,541,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0030 City Attorney,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
03010 City Attorney,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
417007 DUI Response Reimbursements,,,,,,,,523,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 03010,,,,,,,523,,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,0030 City Attorney,,,523,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0040 Finance,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
04030 Director's Office,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
413060 General District Court - ATM Permit Fee,,,,,,,,0,"1,200",,,"1,200",,"1,200",,"1,200",,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
413068 ATM Permit Fee - City Hall,,,,,,,,0,"1,200",,,"1,200",,"1,200",,"1,200",,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
413069 ATM Permit Fee - Visitors' Center,,,,,,,,0,600,,,600,,600,,600,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416375 Procurement Card Rebate - City,,,,,,,,"20,078","20,000",,,"20,000",,"23,500",,"23,500",,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 04030,,,,,,,"20,078",,"23,000",,"23,000",,"26,500","26,500",,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
04031 Local Vehicle Registration,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416302 DMV Reimbursement - STOPS,,,,,,,,"530,624","614,000",,,"614,000",,"614,000",,"614,000",,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 04031,,,,,,,"530,624",,"614,000",,"614,000",,"614,000","614,000",,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
04034 Payroll,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
