,,"Revenue Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,,Fiscal Year 2012,,,,,,,
Account,,,,,,,,FY 2010,FY 2011,,,FY 2011,,FY 2012,,FY 2013,,FY 2014,FY 2015,,FY 2016
,,,,,,,,,,,,,,,,,,,,,
Code,,,,Revenue Description,,,,Actual,Adopted,,,Amended,,Budget,,Budget,,Budget,Budget,,Budget
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,002 General Fund,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0010 Municipal Council,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
01010 Municipal Council,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416911 Donation - Mayor's Committee - Disabilities,,,,,,,,50,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 01010,,,,,,,50,,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,0010 Municipal Council,,,,50,,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0011 City Clerk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
01011 City Clerk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416007 PSDT Contributions,,,,,,,,100,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
416043 Contribution for Sister Cities,,,,,,,,"6,400",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
416268 Campaign Financing - Late Fees,,,,,,,,0,541,,,541,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 01011,,,,,,,"6,500",,541,,541,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,0011 City Clerk,,,"6,500",,541,,541,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0030 City Attorney,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
03010 City Attorney,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
417007 DUI Response Reimbursements,,,,,,,,"1,007",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 03010,,,,,,,"1,007",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,0030 City Attorney,,,"1,007",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0040 Finance,,,,,,,,,,,,,,,,,,,,,
