"Expenditure Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,Fiscal Year 2015,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Account,,,,,,,,FY 2013,FY 2014,,FY 2014,FY 2015,,FY 2016,FY 2017,,FY 2018,,FY 2019,,
,,,,,,,,,,,,,,,,,,,,,
Code,Account Description,,,,,,,Actual,Adopted,,Amended,Budget,,Budget,Budget,,Budget,,Budget,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,     002 General Fund     ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
 0010 Municipal Council    ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
01010 Municipal Council ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
601010,,Legislative Salaries,,,,,,0,"313,100",,"313,100","318,303",,"318,303","318,303",,"318,303",,"318,303",,
,,,,,,,,,,,,,,,,,,,,,
601111,,Full Time Salaries,,,,,,"310,001",0,,"4,591",0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
602101,,F.I.C.A.,,,,,,"18,631","19,409",,"19,694","19,730",,"19,730","19,730",,"19,730",,"19,730",,
,,,,,,,,,,,,,,,,,,,,,
602104,,F.I.C.A. - Medicare,,,,,,"4,357","4,539",,"4,605","4,617",,"4,617","4,617",,"4,617",,"4,617",,
,,,,,,,,,,,,,,,,,,,,,
602201,,VRS Plan 1 Retirement,,,,,,0,0,,789,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
602301,,Health Insurance,,,,,,"10,741","3,770",,"3,770","42,968",,"42,968","42,968",,"42,968",,"42,968",,
,,,,,,,,,,,,,,,,,,,,,
602302,,Life Insurance,,,,,,0,0,,54,"3,787",,"3,787","3,787",,"3,787",,"3,787",,
,,,,,,,,,,,,,,,,,,,,,
603162,,Advocate Services,,,,,,"74,905","65,441",,"65,441","65,441",,"65,441","65,441",,"65,441",,"65,441",,
