"Expenditure Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,Fiscal Year 2014,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Account,,,,,,,,FY 2012,FY 2013,,FY 2013,FY 2014,,FY 2015,FY 2016,,FY 2017,,FY 2018,,
,,,,,,,,,,,,,,,,,,,,,
Code,Account Description,,,,,,,Actual,Adopted,,Amended,Budget,,Budget,Budget,,Budget,,Budget,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,     002 General Fund     ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
 0010 Municipal Council    ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
01010 Municipal Council ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
601010,,Legislative Salaries,,,,,,0,"310,000",,"310,000","313,100",,"313,100","313,100",,"313,100",,"313,100",,
,,,,,,,,,,,,,,,,,,,,,
601111,,Full Time Salaries,,,,,,"308,834",0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
601406,,Board Member Compensation,,,,,,50,0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
602101,,F.I.C.A.,,,,,,"18,472","19,220",,"19,220","19,409",,"19,409","19,409",,"19,409",,"19,409",,
,,,,,,,,,,,,,,,,,,,,,
602104,,F.I.C.A. - Medicare,,,,,,"4,320","4,495",,"4,495","4,539",,"4,539","4,539",,"4,539",,"4,539",,
,,,,,,,,,,,,,,,,,,,,,
602301,,Health Insurance,,,,,,"10,800","12,314",,"12,314","3,770",,"3,770","3,770",,"3,770",,"3,770",,
,,,,,,,,,,,,,,,,,,,,,
603162,,Advocate Services,,,,,,"59,146","65,441",,"65,441","65,441",,"65,441","65,441",,"65,441",,"65,441",,
,,,,,,,,,,,,,,,,,,,,,
603201,,General Maintenance and Repair,,,,,,0,"1,000",,"1,000","1,000",,"1,000","1,000",,"1,000",,"1,000",,
